Date,W/L,Race,Opponent,MMR,Map,Opponent's Strat,Mistakes/Improvement,Notes,Tags
1/23/18,W,Z,Fox,4431,Eastwatch,Ling Bane -> Roach Hydra,"Overcommitting vs hydras, not enough multprong attacks",Eastwatch still susceptible to Ling/Bane,Overcommit
1/23/18,W,Z,supmax,4244,Acid Plant,13/12,Wait for lings to pop before engaging?,Where do Overlords go on this map? Where to take 3rd?,13/12
1/23/18,W,Z,Shahzad,4491,Abiogensis,HGP,"Not scouting for roaches/spire tech, SB @36, @44",,HGP
1/23/18,W,P,tipu,4393,Backwater,Early Adept pressure,No early defensive lings,,
1/23/18,L,P(R),<Capt>Xenonn,4489,Eastwatch,Blink Stalker Timing,"No detection for DTs, Ravager micro",,DT
1/23/18,L,Z(R),<Capt>Xenonn,4489,Backwater,13/12 Drone Pull,Spine? Avoid Canceling Nat Hatch?,Built 7 spines in base,13/12
1/23/18,W,Z,YYMMDD,4468,Eastwatch,P/H/G,"Supply block, poor pool first build",,
1/23/18,L,T,WhatTheF,4600,Acid Plant,Mech,"SB @50, @106 Late Infestation Pit, Hive, Vipers",,Mech
1/23/18,W,T,blackout,4341,Eastwatch,BioTank,Slow expanding past 4 bases,,BioTank
1/23/18,W,P,<GUCCI> Tiki,4417,Eastwatch,Adept Pressure (5:00),"scout and adjust to attack, SB @50",,5:00Adept
1/24/18,L,P ,<hTx>OhrlRokk,4591,Acid Plant,Stargate,"Constant supply blocks, no banes for zealots","Phoenix -> Oracle, no spores (trying to rush ravagers)",Stargate
1/24/18,L,T,<MIT>TheBOCS,4494,Backwater,Mech,"Poor viper clouds, viper control",Sooooo far ahead,Mech
1/24/18,L,P,<PsiX>November,4360,Abiogenesis,Sentry Shield Battery Contain,"Lost early lings, overdroned, allowed batteries to finish",,ShieldBatteryContain
1/24/18,W,T,Future,4455,Abiogenesis,Reaper Rush into bio,"Poor engagements into bases, no bane nest",Need Overlords to spot high ground,Reaper Bio
1/24/18,W,Z(R),Abazaba,4282,Acid Plant,13/12 -> Roach/Hydra,"Start speed sooner, don't overcommit to counterattack",Decent 13/12 hold,13/12
1/24/18,W,T,<FeverC>Valor,???,Acid Plant,Hellions -> BioTank -> Ghosts,"Hellions got past lings, could have split better for drops","Ex M3, GM in WoL",Hellions BioTank
1/25/18,W,P,anarchy,4517,Eastwatch,Proxy Stargate,,Therapy All-in(0:00),Therapy
1/25/18,W,P,Alicion,4441,Eastwatch,"Stargate, Shield Battery",More lings before transition to drones,"Therapy All-in, Scouted by probe",Therapy
1/25/18,W,P,<GaTech>jiseokCube,4574,Eastwatch,Stargate,,Therapy All-in(3:50),Therapy
1/25/18,L,T,IIIIIIII,4712,Backwater,211 BioTank ,"Forced engage in middle of map, poor multitask vs drops",,211 BioTank
1/25/18,L,Z,Papo,4600,Acid Plant,Ling Bane -> Hydra Lurker,Didn't prepare/scout for Tech after denying 3rd,Need to tech while droning,
1/25/18,L,T(R),<Rob>Grufzar,4491,Abiogenesis,Mass Reaper,Poor unit control (ravager biles & retreat),Therapy,
1/25/18,L,T,<Virgin>Tehbatz,4416,Backwater,211,"Forgot queen @nat, out of position for marine drop",,211
1/25/18,W,T,<Virgin>Tehbatz,4416,Backwater,Hellion -> BioMine,"Didn't scout hellbats, late upgrades, no macro during attack",,Hellbats BioMine
1/27/18,W,P,<CloudM>octomologyst,4694,Abiogenesis,"Adepts, Shield Battery",Delayed Roach warren to avoid being scouted,Therapy,Therapy
1/27/18,L,Z,<1E100>tskuzzy,4364,Eastwatch,Muta,"Lost muta war, no tech",denied 3rd,
1/27/18,L,P,Jimmon,4929,Acid Plant,Stargate,"Hatch block, scouted allin",Therapy,Therapy
1/27/18,L,Z,<validG>xaos,???,Backwater,Roach allin,move command army,,
1/27/18,W,P,Diegox,4123,Abiogenesis,"Adepts, Shield Battery","Poor army focus, no scout denial",Therapy,Therapy
1/27/18,W,P,Faust,4165,Backwater,"Stargate, Shield Battery",No scout denial,Therapy,Therapy
1/27/18,L,Z,<DhzPro>FuSioN,4448,Abiogenesis,13/12,extremely poor trades,,13/12
1/27/18,L,Z,shane,4319,Eastwatch,13/12,no cancel on spine (x2),,13/12
1/27/18,L,T,<FoFoG>Ceonsamea,4516,Abiogenesis,211,"Poor queen control, supply block by overlord kills, overcommitting to attacks",,211
1/27/18,L,T,<TruckU>FMage,4378,Eastwatch,Hellions Cyclone Banshee,,,
1/27/18,W,P,<Ruse>Zephos,4675,Acid Plant,Adepts,Didn't protect ravagers,Therapy,Therapy
1/27/18,W,Z,<LimaSC>eBuRn,4305,Abiogenesis,baneless fast 3rd,"didn't scout third, not enough banes",,
1/27/18,W,P,<INK>RorschachINK,4612,Acid Plant,"Stargate, Shield Battery","Poor attempt at bane bust, focusing pylons vs probes",Therapy,Therapy
1/27/18,L,T,ShXtStorm,4725,Acid Plant,Hellions -> Hellbat Marine push,"Lost scouting overlords, built 5 overlords to unsupply block",,
1/27/18,L,P,<FMX>Acnologia,4364,Eastwatch,DT -> Archon,Forgot bane nest,,
1/27/18,L,Z,<Ash3s>FisterRoboto,4603,Acid Plant,LingBane,"More ling counterattacks, morph banes sooner, more drones",Figure out how to send lings to outsides on Acid Plant,
1/27/18,L,T,IIIIIIII,4681,Abiogenesis,HellionsBanshee,,,
1/27/18,L,T,<PSIST>drunkenfuryz,4665,Backwater,MassCloakedBanshee,,,MassCloakedBanshee
1/27/18,L,Z,Silence,???,Eastwatch,LingBane,Detonated all banes,,
1/28/18,L,T,WhatTheF,4582,Acid Plant,Mech,Poor Viper management vs Vikings,,
1/28/18,W,Z,BurntHairDoo,4500,Acid Plant,LingBane -> Fast Lair/roaches,,"No aggression, early third",
1/28/18,W,P,<gGgO>ieLLiMo,4351,Eastwatch,Hatch deny -> Cannon rush cancel,,"Therapy (4:15) with 2 gas, 3 ravagers",
1/28/18,L,Z,<|Next|>JuGa,???,Eastwatch,Gasless -> Roach Hydra,"Didn't drone hard enough, too much tech, not enough army",,
1/28/18,L,Z,<F0cus>Devonian,4411,Acid Plant,15 Hatch,Didn't react correctly -> sent slow lings out to die,,15H
1/28/18,L,Z,<SKCGT>Kolewasimadia,4513,Blackpink,13/12,first 2 banes killed everything,,13/12
